title,url,date,category
Lilly's EBGLYSS™ (lebrikizumab-lbkz) demonstrated meaningful improvement in skin clearance and itch relief in the majority of patients with moderate-to-severe atopic dermatitis who discontinued dupilumab,https://lilly.mediaroom.com/2024-10-25-Lillys-EBGLYSS-TM-lebrikizumab-lbkz-demonstrated-meaningful-improvement-in-skin-clearance-and-itch-relief-in-the-majority-of-patients-with-moderate-to-severe-atopic-dermatitis-who-discontinued-dupilumab,2024-10-25T00:00:00,clinical trial update
Lilly's Kisunla™ (donanemab-azbt) Receives Marketing Authorization in Great Britain for the Treatment of Mild Cognitive Impairment and Mild Dementia Due to Alzheimer's Disease in Adult Patients Who Are Apolipoprotein E Ε4 Heterozygotes or Non-Carriers,https://lilly.mediaroom.com/2024-10-23-Lillys-Kisunla-TM-donanemab-azbt-Receives-Marketing-Authorization-in-Great-Britain-for-the-Treatment-of-Mild-Cognitive-Impairment-and-Mild-Dementia-Due-to-Alzheimers-Disease-in-Adult-Patients-Who-Are-Apolipoprotein-E-4-Heterozygotes-or-Non-Carr,2024-10-23T00:00:00,regulatory approval
Lilly confirms date and conference call for third-quarter 2024 financial results announcement,https://lilly.mediaroom.com/2024-10-16-Lilly-confirms-date-and-conference-call-for-third-quarter-2024-financial-results-announcement,2024-10-16T00:00:00,financial news
Survey reveals 8 in 10 Americans with ulcerative colitis struggle to find a public restroom during emergencies,https://lilly.mediaroom.com/2024-10-16-Survey-reveals-8-in-10-Americans-with-ulcerative-colitis-struggle-to-find-a-public-restroom-during-emergencies,2024-10-16T00:00:00,commercialized drug update
Lilly reports one-year histologic outcomes in Phase 3 study of mirikizumab compared to ustekinumab for Crohn's disease,https://lilly.mediaroom.com/2024-10-14-Lilly-reports-one-year-histologic-outcomes-in-Phase-3-study-of-mirikizumab-compared-to-ustekinumab-for-Crohns-disease,2024-10-14T00:00:00,clinical trial update
Lilly announces new $4.5 billion site - the Lilly Medicine Foundry - to drive innovation in drug production and make medicines for clinical trials,https://lilly.mediaroom.com/2024-10-02-Lilly-announces-new-4-5-billion-site-the-Lilly-Medicine-Foundry-to-drive-innovation-in-drug-production-and-make-medicines-for-clinical-trials,2024-10-02T00:00:00,commercialized drug update
New data show Lilly's EBGLYSS™ (lebrikizumab-lbkz) provided sustained disease control for up to three years in more than 80% of adults and adolescents with moderate-to-severe atopic dermatitis,https://lilly.mediaroom.com/2024-09-25-New-data-show-Lillys-EBGLYSS-TM-lebrikizumab-lbkz-provided-sustained-disease-control-for-up-to-three-years-in-more-than-80-of-adults-and-adolescents-with-moderate-to-severe-atopic-dermatitis,2024-09-25T00:00:00,clinical trial update
Lilly's Kisunla™ (donanemab-azbt) Approved in Japan for the Treatment of Early Symptomatic Alzheimer's Disease,https://lilly.mediaroom.com/2024-09-24-Lillys-Kisunla-TM-donanemab-azbt-Approved-in-Japan-for-the-Treatment-of-Early-Symptomatic-Alzheimers-Disease,2024-09-24T00:00:00,regulatory approval
FDA Approves Lilly's EBGLYSS™ (lebrikizumab-lbkz) for Adults and Children 12 Years and Older with Moderate-to-Severe Atopic Dermatitis,https://lilly.mediaroom.com/2024-09-13-FDA-Approves-Lillys-EBGLYSS-TM-lebrikizumab-lbkz-for-Adults-and-Children-12-Years-and-Older-with-Moderate-to-Severe-Atopic-Dermatitis,2024-09-13T00:00:00,regulatory approval
Lilly expands manufacturing footprint in Ireland with $1.8 billion investment,https://lilly.mediaroom.com/2024-09-12-Lilly-expands-manufacturing-footprint-in-Ireland-with-1-8-billion-investment,2024-09-12T00:00:00,commercialized drug update
"With once-a-week dosing, insulin efsitora alfa delivers similar A1C reduction compared to daily insulin in adults with type 1 diabetes","https://lilly.mediaroom.com/2024-09-10-With-once-a-week-dosing,-insulin-efsitora-alfa-delivers-similar-A1C-reduction-compared-to-daily-insulin-in-adults-with-type-1-diabetes",2024-09-10T00:00:00,clinical trial update
Once-weekly dose of insulin efsitora alfa delivers A1C reduction consistent with the most advanced daily insulin in people with type 2 diabetes,https://lilly.mediaroom.com/2024-09-10-Once-weekly-dose-of-insulin-efsitora-alfa-delivers-A1C-reduction-consistent-with-the-most-advanced-daily-insulin-in-people-with-type-2-diabetes,2024-09-10T00:00:00,clinical trial update
Lilly appoints Lucas Montarce as executive vice president and chief financial officer,https://lilly.mediaroom.com/2024-09-09-Lilly-appoints-Lucas-Montarce-as-executive-vice-president-and-chief-financial-officer,2024-09-09T00:00:00,management update
"In a first-of-its-kind fixed dose study, once weekly insulin efsitora alfa leads to A1C reduction similar to daily insulin","https://lilly.mediaroom.com/2024-09-05-In-a-first-of-its-kind-fixed-dose-study,-once-weekly-insulin-efsitora-alfa-leads-to-A1C-reduction-similar-to-daily-insulin",2024-09-05T00:00:00,clinical trial update
Lilly and EVA Pharma collaborate to expand access to baricitinib in low- to middle-income countries,https://lilly.mediaroom.com/2024-09-04-Lilly-and-EVA-Pharma-collaborate-to-expand-access-to-baricitinib-in-low-to-middle-income-countries,2024-09-04T00:00:00,commercialized drug update
"Lilly releases Zepbound® (tirzepatide) single-dose vials, expanding supply and access for adults living with obesity","https://lilly.mediaroom.com/2024-08-27-Lilly-releases-Zepbound-R-tirzepatide-single-dose-vials,-expanding-supply-and-access-for-adults-living-with-obesity",2024-08-27T00:00:00,commercialized drug update
Lilly to participate in Morgan Stanley 22nd Annual Global Healthcare Conference,https://lilly.mediaroom.com/2024-08-22-Lilly-to-participate-in-Morgan-Stanley-22nd-Annual-Global-Healthcare-Conference,2024-08-22T00:00:00,financial news
Tirzepatide reduced the risk of developing type 2 diabetes by 94% in adults with pre-diabetes and obesity or overweight,https://lilly.mediaroom.com/2024-08-20-Tirzepatide-reduced-the-risk-of-developing-type-2-diabetes-by-94-in-adults-with-pre-diabetes-and-obesity-or-overweight,2024-08-20T00:00:00,clinical trial update
Lilly announces retirement of Marschall S. Runge from its Board of Directors,https://lilly.mediaroom.com/2024-08-16-Lilly-announces-retirement-of-Marschall-S-Runge-from-its-Board-of-Directors,2024-08-16T00:00:00,management update
Lilly Completes Acquisition of Morphic to Improve Outcomes and Expand Options for People Living with Inflammatory Bowel Disease,https://lilly.mediaroom.com/2024-08-16-Lilly-Completes-Acquisition-of-Morphic-to-Improve-Outcomes-and-Expand-Options-for-People-Living-with-Inflammatory-Bowel-Disease,2024-08-16T00:00:00,commercialized drug update
Lilly opens state-of-the-art research and development center in the Boston Seaport,https://lilly.mediaroom.com/2024-08-13-Lilly-opens-state-of-the-art-research-and-development-center-in-the-Boston-Seaport,2024-08-13T00:00:00,commercialized drug update
"Lilly Reports Q2 2024 Financial Results, Raises Full-Year Revenue Guidance by $3 Billion","https://lilly.mediaroom.com/2024-08-08-Lilly-Reports-Q2-2024-Financial-Results,-Raises-Full-Year-Revenue-Guidance-by-3-Billion",2024-08-08T00:00:00,financial news
Lilly's tirzepatide successful in phase 3 study showing benefit in adults with heart failure with preserved ejection fraction and obesity,https://lilly.mediaroom.com/2024-08-01-Lillys-tirzepatide-successful-in-phase-3-study-showing-benefit-in-adults-with-heart-failure-with-preserved-ejection-fraction-and-obesity,2024-08-01T00:00:00,clinical trial update
Lilly Confirms Date and Conference Call for Second-Quarter 2024 Financial Results Announcement,https://lilly.mediaroom.com/2024-07-25-Lilly-Confirms-Date-and-Conference-Call-for-Second-Quarter-2024-Financial-Results-Announcement,2024-07-25T00:00:00,financial news
Lilly to Acquire Morphic to Improve Outcomes for Patients with Inflammatory Bowel Disease,https://lilly.mediaroom.com/2024-07-08-Lilly-to-Acquire-Morphic-to-Improve-Outcomes-for-Patients-with-Inflammatory-Bowel-Disease,2024-07-08T00:00:00,commercialized drug update
Lilly's Kisunla™ (donanemab-azbt) Approved by the FDA for the Treatment of Early Symptomatic Alzheimer's Disease,https://lilly.mediaroom.com/2024-07-02-Lillys-Kisunla-TM-donanemab-azbt-Approved-by-the-FDA-for-the-Treatment-of-Early-Symptomatic-Alzheimers-Disease,2024-07-02T00:00:00,regulatory approval
Lilly collaborates with OpenAI to discover novel medicines to treat drug-resistant bacteria,https://lilly.mediaroom.com/2024-06-25-Lilly-collaborates-with-OpenAI-to-discover-novel-medicines-to-treat-drug-resistant-bacteria,2024-06-25T00:00:00,commercialized drug update
Lilly Declares Third-Quarter 2024 Dividend,https://lilly.mediaroom.com/2024-06-24-Lilly-Declares-Third-Quarter-2024-Dividend,2024-06-24T00:00:00,financial news
"Lilly's tirzepatide reduced obstructive sleep apnea (OSA) severity, with up to 51.5% of participants meeting the criteria for disease resolution","https://lilly.mediaroom.com/2024-06-21-Lillys-tirzepatide-reduced-obstructive-sleep-apnea-OSA-severity,-with-up-to-51-5-of-participants-meeting-the-criteria-for-disease-resolution",2024-06-21T00:00:00,clinical trial update
"Lilly's tirzepatide was superior to placebo for MASH resolution, and more than half of patients achieved improvement in fibrosis at 52 weeks","https://lilly.mediaroom.com/2024-06-08-Lillys-tirzepatide-was-superior-to-placebo-for-MASH-resolution,-and-more-than-half-of-patients-achieved-improvement-in-fibrosis-at-52-weeks",2024-06-08T00:00:00,clinical trial update
"Lilly announces departure of Anat Ashkenazi, chief financial officer","https://lilly.mediaroom.com/2024-06-05-Lilly-announces-departure-of-Anat-Ashkenazi,-chief-financial-officer",2024-06-05,management update
Melissa Seymour to join Lilly as executive vice president of Global Quality,https://lilly.mediaroom.com/2024-06-04-Melissa-Seymour-to-join-Lilly-as-executive-vice-president-of-Global-Quality,2024-06-04,management update
Updated Data from the Phase 1/2 Study of Olomorasib in KRAS G12C-Mutant Advanced Solid Tumors Presented at the 2024 ASCO® Annual Meeting,https://lilly.mediaroom.com/2024-06-01-Updated-Data-from-the-Phase-1-2-Study-of-Olomorasib-in-KRAS-G12C-Mutant-Advanced-Solid-Tumors-Presented-at-the-2024-ASCO-R-Annual-Meeting,2024-06-01,clinical trial update
"Lilly, UNICEF expand support to help millions of young people at risk of noncommunicable diseases","https://lilly.mediaroom.com/2024-05-29-Lilly,-UNICEF-expand-support-to-help-millions-of-young-people-at-risk-of-noncommunicable-diseases",2024-05-29,corporate social responsibility
Lilly to Participate in Goldman Sachs 45th Annual Global Healthcare Conference,https://lilly.mediaroom.com/2024-05-28-Lilly-to-Participate-in-Goldman-Sachs-45th-Annual-Global-Healthcare-Conference,2024-05-28,financial news
Lilly Increases Manufacturing Investment to $9 Billion at Newest Indiana Site to Boost API Production for Tirzepatide and Pipeline Medicines,https://lilly.mediaroom.com/2024-05-24-Lilly-Increases-Manufacturing-Investment-to-9-Billion-at-Newest-Indiana-Site-to-Boost-API-Production-for-Tirzepatide-and-Pipeline-Medicines,2024-05-24,management update
Lilly Announces Details of Presentations at 2024 American Society of Clinical Oncology (ASCO) Annual Meeting,https://lilly.mediaroom.com/2024-05-23-Lilly-Announces-Details-of-Presentations-at-2024-American-Society-of-Clinical-Oncology-ASCO-Annual-Meeting,2024-05-23,clinical trial update
"More than one-half of patients with Crohn's disease treated with Lilly's mirikizumab achieved clinical remission at one year, including patients with previous biologic failure","https://lilly.mediaroom.com/2024-05-21-More-than-one-half-of-patients-with-Crohns-disease-treated-with-Lillys-mirikizumab-achieved-clinical-remission-at-one-year,-including-patients-with-previous-biologic-failure",2024-05-21,clinical trial update
"With Once-a-Week Dosing, Insulin Efsitora Alfa Delivers A1C Reduction and Safety Profile Consistent with Daily Insulin","https://lilly.mediaroom.com/2024-05-16-With-Once-a-Week-Dosing,-Insulin-Efsitora-Alfa-Delivers-A1C-Reduction-and-Safety-Profile-Consistent-with-Daily-Insulin",2024-05-16,clinical trial update
Alonzo Weems to Retire as Executive Vice President of Enterprise Risk Management and Chief Ethics and Compliance Officer,https://lilly.mediaroom.com/2024-05-15-Alonzo-Weems-to-Retire-as-Executive-Vice-President-of-Enterprise-Risk-Management-and-Chief-Ethics-and-Compliance-Officer,2024-05-15,management update
Lilly Declares Second-Quarter 2024 Dividend,https://lilly.mediaroom.com/2024-05-06-Lilly-Declares-Second-Quarter-2024-Dividend,2024-05-06,financial news
"Lilly Reports First-Quarter 2024 Financial Results and Raises Full-Year Revenue Guidance by $2 Billion, Highlights Pipeline Momentum","https://lilly.mediaroom.com/2024-04-30-Lilly-Reports-First-Quarter-2024-Financial-Results-and-Raises-Full-Year-Revenue-Guidance-by-2-Billion,-Highlights-Pipeline-Momentum",2024-04-30,financial news
Tirzepatide reduced sleep apnea severity by up to nearly two-thirds in adults with obstructive sleep apnea (OSA) and obesity,https://lilly.mediaroom.com/2024-04-17-Tirzepatide-reduced-sleep-apnea-severity-by-up-to-nearly-two-thirds-in-adults-with-obstructive-sleep-apnea-OSA-and-obesity,2024-04-17,clinical trial update
Lilly Confirms Date and Conference Call for First-Quarter 2024 Financial Results Announcement,https://lilly.mediaroom.com/2024-04-16-Lilly-Confirms-Date-and-Conference-Call-for-First-Quarter-2024-Financial-Results-Announcement,2024-04-16,financial news
More than two-thirds of people with atopic dermatitis and skin of color experienced skin improvement in a first-of-its-kind lebrikizumab study,https://lilly.mediaroom.com/2024-03-10-More-than-two-thirds-of-people-with-atopic-dermatitis-and-skin-of-color-experienced-skin-improvement-in-a-first-of-its-kind-lebrikizumab-study,2024-03-10,clinical trial update
U.S. Food and Drug Administration to Convene Advisory Committee Meeting to Discuss the TRAILBLAZER-ALZ 2 Study of Donanemab,https://lilly.mediaroom.com/2024-03-08-U-S-Food-and-Drug-Administration-to-Convene-Advisory-Committee-Meeting-to-Discuss-the-TRAILBLAZER-ALZ-2-Study-of-Donanemab,2024-03-08,regulatory approval
Lilly's Newest Phase of Get Better Campaign Challenges Misperceptions About Obesity Care,https://lilly.mediaroom.com/2024-03-07-Lillys-Newest-Phase-of-Get-Better-Campaign-Challenges-Misperceptions-About-Obesity-Care,2024-03-07,commercialized drug update
Lilly Announces Details of Presentations at 2024 American Association for Cancer Research (AACR) Annual Meeting,https://lilly.mediaroom.com/2024-03-05-Lilly-Announces-Details-of-Presentations-at-2024-American-Association-for-Cancer-Research-AACR-Annual-Meeting,2024-03-05,clinical trial update
Lilly to Participate in Cowen's 44th Annual Health Care Conference,https://lilly.mediaroom.com/2024-02-20-Lilly-to-Participate-in-Cowens-44th-Annual-Health-Care-Conference,2024-02-20,financial news
Philip Johnson to Retire as Lilly Treasurer,https://lilly.mediaroom.com/2024-02-09-Philip-Johnson-to-Retire-as-Lilly-Treasurer,2024-02-09,management update
Lilly Reports Strong Fourth-Quarter 2023 Financial Results and Provides 2024 Guidance,https://lilly.mediaroom.com/2024-02-06-Lilly-Reports-Strong-Fourth-Quarter-2023-Financial-Results-and-Provides-2024-Guidance,2024-02-06,financial news
Johna Norton to Retire as Lilly Executive Vice President of Global Quality,https://lilly.mediaroom.com/2024-01-25-Johna-Norton-to-Retire-as-Lilly-Executive-Vice-President-of-Global-Quality,2024-01-25,management update
Positive Phase 1/2 Clinical Trial Data for an Investigational Gene Therapy for Genetic Hearing Loss to be Presented at the Association for Research in Otolaryngology 2024 MidWinter Meeting,https://lilly.mediaroom.com/2024-01-23-Positive-Phase-1-2-Clinical-Trial-Data-for-an-Investigational-Gene-Therapy-for-Genetic-Hearing-Loss-to-be-Presented-at-the-Association-for-Research-in-Otolaryngology-2024-MidWinter-Meeting,2024-01-23,clinical trial update
Lilly Confirms Date and Conference Call for Fourth-Quarter 2023 Financial Results and 2024 Financial Guidance,https://lilly.mediaroom.com/2024-01-23-Lilly-Confirms-Date-and-Conference-Call-for-Fourth-Quarter-2023-Financial-Results-and-2024-Financial-Guidance,2024-01-23,financial news
Lilly Launches End-to-End Digital Healthcare Experience through LillyDirect™,https://lilly.mediaroom.com/2024-01-04-Lilly-Launches-End-to-End-Digital-Healthcare-Experience-through-LillyDirect-TM,2024-01-04,commercialized drug update
Lilly to Participate in J.P. Morgan Healthcare Conference,https://lilly.mediaroom.com/2024-01-02-Lilly-to-Participate-in-J-P-Morgan-Healthcare-Conference,2024-01-02,financial news
Lilly Completes Acquisition of POINT Biopharma,https://lilly.mediaroom.com/2023-12-27-Lilly-Completes-Acquisition-of-POINT-Biopharma,2023-12-27,management update
"Lilly Extends Tender Offer to Acquire POINT Biopharma to Dec. 22, 2023","https://lilly.mediaroom.com/2023-12-18-Lilly-Extends-Tender-Offer-to-Acquire-POINT-Biopharma-to-Dec-22,-2023",2023-12-18,management update
Updated Data from the BRUIN Phase 1/2 Study of Pirtobrutinib in Chronic Lymphocytic Leukemia and Mantle Cell Lymphoma Presented at the 2023 ASH Annual Meeting,https://lilly.mediaroom.com/2023-12-11-Updated-Data-from-the-BRUIN-Phase-1-2-Study-of-Pirtobrutinib-in-Chronic-Lymphocytic-Leukemia-and-Mantle-Cell-Lymphoma-Presented-at-the-2023-ASH-Annual-Meeting,2023-12-11,clinical trial update
"Lilly's Zepbound™ (tirzepatide) achieved additional 6.7% weight loss following a 36-week open-label lead-in period, for a total mean weight loss of 26.0% from study entry over 88 weeks","https://lilly.mediaroom.com/2023-12-11-Lillys-Zepbound-TM-tirzepatide-achieved-additional-6-7-weight-loss-following-a-36-week-open-label-lead-in-period,-for-a-total-mean-weight-loss-of-26-0-from-study-entry-over-88-weeks",2023-12-11,clinical trial update
"Lilly Announces 15% Dividend Increase, First-Quarter 2024 Dividend","https://lilly.mediaroom.com/2023-12-08-Lilly-Announces-15-Dividend-Increase,-First-Quarter-2024-Dividend",2023-12-08,financial news
Lilly to Present Final Overall Survival Analysis from the MONARCH 3 Study of Verzenio® (abemaciclib) and Additional Results from Its Breast Cancer Portfolio at the 2023 San Antonio Breast Cancer Symposium,https://lilly.mediaroom.com/2023-12-05-Lilly-to-Present-Final-Overall-Survival-Analysis-from-the-MONARCH-3-Study-of-Verzenio-R-abemaciclib-and-Additional-Results-from-Its-Breast-Cancer-Portfolio-at-the-2023-San-Antonio-Breast-Cancer-Symposium,2023-12-05,clinical trial update
Zepbound™ (tirzepatide) is Now Available in U.S. Pharmacies for Adults Living with Obesity,https://lilly.mediaroom.com/2023-12-05-Zepbound-TM-tirzepatide-is-Now-Available-in-U-S-Pharmacies-for-Adults-Living-with-Obesity,2023-12-05,commercialized drug update
"Lilly Extends Tender Offer to Acquire POINT Biopharma to Dec. 15, 2023","https://lilly.mediaroom.com/2023-12-04-Lilly-Extends-Tender-Offer-to-Acquire-POINT-Biopharma-to-Dec-15,-2023",2023-12-04,management update
"Jaypirca® (pirtobrutinib) Now Approved by U.S. FDA for the Treatment of Adult Patients with Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma Who Have Received at Least Two Lines of Therapy, Including a BTK Inhibitor and a BCL-2 Inhibitor","https://lilly.mediaroom.com/2023-12-01-Jaypirca-R-pirtobrutinib-Now-Approved-by-U-S-FDA-for-the-Treatment-of-Adult-Patients-with-Chronic-Lymphocytic-Leukemia-or-Small-Lymphocytic-Lymphoma-Who-Have-Received-at-Least-Two-Lines-of-Therapy,-Including-a-BTK-Inhibitor-and-a-BCL-2-Inhibito",2023-12-01,regulatory approval
Lilly Announces Plans to Open its First-ever Gateway Labs Site in San Diego,https://lilly.mediaroom.com/2023-11-28-Lilly-Announces-Plans-to-Open-its-First-ever-Gateway-Labs-Site-in-San-Diego,2023-11-28,management update
Lilly to expand injectable manufacturing capacity with planned $2.5 billion site in Germany,https://lilly.mediaroom.com/2023-11-17-Lilly-to-expand-injectable-manufacturing-capacity-with-planned-2-5-billion-site-in-Germany,2023-11-17,management update
"Lilly Extends Tender Offer to Acquire POINT Biopharma to Dec. 1, 2023","https://lilly.mediaroom.com/2023-11-17-Lilly-Extends-Tender-Offer-to-Acquire-POINT-Biopharma-to-Dec-1,-2023",2023-11-17,management update
Lilly Announces the Receipt of NRC Consent in Connection with its Proposed Acquisition of POINT Biopharma,https://lilly.mediaroom.com/2023-11-14-Lilly-Announces-the-Receipt-of-NRC-Consent-in-Connection-with-its-Proposed-Acquisition-of-POINT-Biopharma,2023-11-14,management update
Lilly to Participate in Evercore ISI HealthCONx Conference,https://lilly.mediaroom.com/2023-11-14-Lilly-to-Participate-in-Evercore-ISI-HealthCONx-Conference,2023-11-14,financial news
Lilly Announces Extension of Tender Offer to Acquire POINT Biopharma,https://lilly.mediaroom.com/2023-11-08-Lilly-Announces-Extension-of-Tender-Offer-to-Acquire-POINT-Biopharma,2023-11-08,management update
"FDA Approves Lilly's Zepbound™ (tirzepatide) for Chronic Weight Management, a Powerful New Option for the Treatment of Obesity or Overweight with Weight-Related Medical Problems","https://lilly.mediaroom.com/2023-11-08-FDA-Approves-Lillys-Zepbound-TM-tirzepatide-for-Chronic-Weight-Management,-a-Powerful-New-Option-for-the-Treatment-of-Obesity-or-Overweight-with-Weight-Related-Medical-Problems",2023-11-08,regulatory approval
Lilly Announces Details of Pirtobrutinib Presentations in B-Cell Malignancies at 2023 ASH Annual Meeting,https://lilly.mediaroom.com/2023-11-02-Lilly-Announces-Details-of-Pirtobrutinib-Presentations-in-B-Cell-Malignancies-at-2023-ASH-Annual-Meeting,2023-11-02,clinical trial update
"Lilly Reports Third-Quarter 2023 Financial Results, Highlights Strong Sales Growth and Business Development Activity","https://lilly.mediaroom.com/2023-11-02-Lilly-Reports-Third-Quarter-2023-Financial-Results,-Highlights-Strong-Sales-Growth-and-Business-Development-Activity",2023-11-02,financial news
